year/month,tmax degC,tmin degC,af days,rain mm,sun hours
01/02/2021,7.9,2.9,6,119.4,60.6
01/03/2021,9.8,4.6,3,38.8,94.7
01/04/2021,10.9,3.9,0,10.6,255.4
01/05/2021,12.7,7,0,142.6,157.4
01/06/2021,17.4,11,0,18,139.5
01/07/2021,19.2,13.7,0,39.2,177.9
01/08/2021,17.8,12.5,0,43.8,128.2
01/09/2021,18.3,12.9,0,105.8,101.5
01/10/2021,14.5,10.3,0,163.6,56.1
01/11/2021,10.9,7,1,48.8,35.9
01/12/2021,10,5.7,0,99.2,33.1
01/01/2022,8.6,4.1,1,32.2,56.3
01/02/2022,9.8,5,0,99.6,60.3
01/03/2022,11.4,5.2,0,34.8,153.9
01/04/2022,12.3,5.9,0,43.8,142.9
01/05/2022,15.6,9.5,0,38.6,147.4
